entry,lep_pt_0,lep_pt_1,lep_pt_2,lep_pt_3,lep_eta_0,lep_eta_1,lep_eta_2,lep_eta_3,lep_phi_0,lep_phi_1,lep_phi_2,lep_phi_3,lep_E_0,lep_E_1,lep_E_2,lep_E_3,lep_charge_0,lep_charge_1,lep_charge_2,lep_charge_3,lep_type_0,lep_type_1,lep_type_2,lep_type_3,lep_z0_0,lep_z0_1,lep_z0_2,lep_z0_3,lep_sigd0_0,lep_sigd0_1,lep_sigd0_2,lep_sigd0_3,lep_ptconerel_0,lep_ptconerel_1,lep_ptconerel_2,lep_ptconerel_3,lep_etconerel_0,lep_etconerel_1,lep_etconerel_2,lep_etconerel_3,min_mll,mZ1,mZ2,mllll,totalWeight
0,48.5339140625,34.41623828125,14.783072265625,7.6162802734375,0.6488859,-0.31318977,-0.4967149,-0.30811206,2.2052386,-1.0205735,-1.875105,0.90611774,59.115265625,36.118140625,16.64489453125,7.9813671875,-1,1,1,1,13,13,13,13,0.019580841,0.0038452148,105.19966,105.19739,1.0521408,0.48568213,9.391869,22.4797,0.0,0.0,0.0,0.0,-0.004074048,-0.015460551,0.04993853,-0.00233047,30.10306978550934,91.31637687598499,20.97549924746333,118.70322035646886,0.11726832704033607
1,46.5888359375,40.95928515625,14.5687734375,9.5682890625,0.24793154,-0.5173221,0.85499936,0.12153917,1.3595155,-2.1079504,-0.37364468,2.6739085,48.0282109375,46.5635390625,20.22623828125,9.639046875,-1,1,-1,1,13,13,11,11,0.010974884,0.038589478,-0.0050849915,0.1042099,0.45536408,2.1471906,1.5199114,0.15273753,0.0,0.0,0.10121934,0.0,-0.01928771,-0.015665105,0.11076735,0.07001713,25.19474277341108,92.76461800296713,25.19474277341108,123.86163663764655,0.14136533337880475
2,44.77212890625,44.686765625,13.8512509765625,8.0068720703125,0.2368392,-0.2111435,0.27021617,1.780159,0.4244627,-2.3314948,-2.8774025,-0.14806406,46.033828125,45.6866953125,14.3604111328125,24.418599609375,1,-1,-1,1,13,13,13,11,-0.031074524,0.04254532,12.100281,12.719265,0.16479608,0.09601364,2.8695788,1.5541985,0.0,0.0,0.0,0.0,0.02821052,0.015648162,-0.0038466677,-0.016127396,49.653363412592256,90.09631341213459,27.014218473269704,125.98291202482318,0.35397169637471837
3,48.59072265625,43.666796875,9.8762548828125,9.186685546875,1.6193315,0.57679105,1.4182764,-0.8245314,0.3590735,2.2865138,1.6337608,-1.5509075,127.495890625,51.13423828125,21.59037890625,12.49045703125,-1,1,1,-1,13,13,13,11,-0.05199814,0.022274017,39.300346,69.61658,3.826751,0.8968496,3.7741714,1.2099699,0.0,0.0,0.0,0.15240577,-0.016696164,-0.015572436,-0.15172859,0.2956044,26.443811716331858,90.8184531656172,32.33566236659233,135.33129113954539,0.22221566316719543
4,47.03801953125,24.471869140625,9.7832568359375,9.0822548828125,0.43474704,-1.2144872,1.4180613,-0.8245839,3.1375475,0.54901385,1.6337137,-1.5509355,51.55379296875,44.85006640625,21.382990234375,12.3489091796875,1,-1,1,-1,13,13,13,11,0.08810425,-0.018856049,-62.971,-32.67044,1.0524622,3.0877683,3.674925,1.2447726,0.0,0.0,0.0,0.0,-0.013821762,-0.013393044,-0.13573982,0.37517235,55.88938669018525,90.38528278542645,31.99751872450104,126.52138142738048,0.292312424209131
5,58.1654375,33.91096875,10.066640625,7.6628056640625,1.1062722,0.87616503,0.4266884,1.643793,-0.6766502,2.4055781,2.2821894,-2.4009256,97.539359375,47.7814921875,10.997517578125,20.5669921875,-1,1,1,-1,13,13,13,11,-0.023319244,-0.0357399,-0.002456665,-0.0059661865,0.8169065,0.5756672,2.8880363,1.5018575,0.024087787,0.0,0.0,0.0,-0.017532129,0.022089299,-0.02718549,0.10708928,51.02675268586338,89.37441342206041,16.96806598646118,112.89841006252469,0.2554106635263749
6,49.32012890625,39.01800390625,11.0505107421875,7.4464091796875,-0.12692772,-1.5317042,-1.0070103,1.5798717,-2.4362688,1.0197837,1.9726884,-1.0605774,49.7180625,94.466953125,17.1432890625,18.84066015625,1,-1,1,1,13,13,11,11,0.05475712,-0.022481918,38.984463,-42.193474,1.4545645,2.6719465,0.284497,1.0368366,0.0,0.0,0.0,0.0,0.017401166,-0.0097185755,-0.0074008433,-0.034052804,109.4231697746461,109.4231697746461,35.5422036817539,156.0640893931117,0.25083744045745
7,47.05506640625,45.74996875,16.488779296875,10.4776220703125,-0.5757318,-0.91153616,0.35688955,-1.8537658,-0.6835545,2.9707973,-0.79115874,1.6475527,55.07158203125,66.109890625,17.5500625,34.26440234375,1,-1,-1,1,13,13,11,13,0.08289337,0.017463684,-0.17533112,-0.32245255,0.43829948,1.2751245,18.693956,1.2709155,0.0,0.0,0.16976155,0.45092863,-0.011415684,0.028397428,0.16398524,0.11659745,34.37787306324856,91.11775223073161,43.11009603091737,137.05950281094474,0.16382189040671222
8,44.28809375,42.00471875,7.42247607421875,7.03092138671875,-0.4077653,0.3746748,-0.9251451,1.6485054,-1.5982754,1.7463086,0.5455959,-2.3511555,48.02145703125,44.98783203125,10.8320205078125,18.95375,-1,1,1,1,13,13,11,11,0.036814213,0.07191944,-0.015810966,-0.073358536,1.526701,0.91924083,0.27799752,0.09678863,0.0,0.0,0.22112232,0.0,-0.00084005576,-0.017438136,0.38940766,0.03319544,92.53699617020709,92.53699617020709,28.099791718999594,122.30426849039556,0.30646606015905264
9,43.828828125,35.6011640625,8.8398173828125,7.03621435546875,0.4814902,-0.20835479,1.1599678,-2.3723545,-3.100079,-0.4208456,1.4545077,-1.0906166,49.0083359375,36.37687109375,15.484384765625,38.051390625,-1,1,1,1,13,13,11,11,0.014373779,0.028053284,0.019832611,-95.577835,2.0098274,0.51947373,0.29202712,0.5467307,0.0,0.0,0.0,0.0,0.022536086,-0.01236828,0.06290717,0.031592935,81.76966724638498,81.76966724638498,47.2455496693408,137.67388449473606,0.1529722267789869
10,36.25589453125,30.89798046875,11.139541015625,9.1989091796875,-0.6323641,0.84236896,0.9670227,1.5224427,0.74275935,-1.9939228,2.4636462,-1.5916555,43.7499140625,42.52424609375,16.766767578125,22.084927734375,-1,1,1,1,13,13,11,13,-0.09544325,-0.0571115,-20.775385,-20.765863,0.6914107,1.0049415,1.6475296,0.65436363,0.0,0.0,0.325089,0.122743756,-0.012395162,-0.003127227,0.049881935,0.034388207,58.11163966199912,84.91744150136576,19.04147136263574,119.16921979740393,0.2970017457778773
11,94.4556796875,74.5628359375,7.96532568359375,7.77732373046875,1.5804431,1.5855708,2.4319086,2.1583567,-0.035747394,1.109265,0.41859335,-1.43144,239.114171875,189.647171875,45.6749765625,34.112953125,-1,1,-1,1,13,13,11,11,-0.018384933,0.049650192,29.365429,28.804829,0.51824874,0.27865165,1.6593784,1.5791873,0.0,0.0,0.0,0.0,-0.007781628,-0.0033157421,-0.0036581897,0.21302246,12.75584420296585,90.92894082055261,12.75584420296585,116.89216671067403,0.3075001487135257
12,39.21362890625,34.1209296875,31.244146484375,8.03432373046875,-0.12778218,1.2294751,-0.085683376,1.8673233,-1.234832,1.7671447,0.47761363,2.3406932,39.5343515625,63.3264921875,31.3590859375,26.61587109375,1,-1,-1,1,13,13,13,13,0.051094055,0.035434723,-78.091995,69.09479,0.74563944,1.1288059,313.18777,1.7848793,0.043980904,0.0,0.0,0.0,-0.023836454,0.0004533937,0.07959718,-0.024123872,14.253211805048869,90.5164373857372,44.15887337052328,140.50604166360426,0.18294922686749704
13,57.09877734375,37.0544765625,7.6257216796875,7.4710966796875,2.0970829,2.06102,2.1586347,2.4319413,0.69290537,-2.511963,-1.4314272,0.418687,235.96634375,147.871484375,33.45705078125,42.84233203125,-1,1,1,-1,13,13,11,11,0.014705658,0.061937332,72.64957,73.25703,0.7301681,0.14990112,1.5696776,1.5910823,0.0,0.0,0.0,0.0,0.0041241804,0.001838562,0.25234956,-0.008399415,12.232815486344702,91.96401960421547,12.232815486344702,107.01791757450374,0.28996068674809367
14,49.40165625,36.643890625,8.04087158203125,7.76180712890625,-0.24187562,0.43679518,2.1587667,2.4316528,0.25876454,2.9334104,-1.4313991,0.4183123,50.85391796875,40.19560546875,35.283015625,44.4967421875,-1,1,1,-1,13,13,11,11,0.026302338,0.02577591,-6.80373,-6.1045113,6.815979,3.9674668,1.5605583,1.7187331,0.0,0.0,0.0,0.0,-0.013241887,0.004450696,0.22036456,-0.019722095,12.800987822465027,87.86255709672885,12.800987822465027,147.3574278691383,0.25708441486000233
15,50.15615234375,16.485232421875,13.2329228515625,7.900017578125,2.2041407,0.6971447,0.55542177,-1.5984617,0.15404096,2.4491518,3.0505419,-1.0304204,230.03634375,20.656130859375,15.3274365234375,20.333169921875,1,-1,-1,1,13,11,13,11,0.070236206,113.633415,0.022972107,50.895172,1.0389265,0.39988658,0.38255468,1.1671569,0.0,0.0,0.16914089,0.0,-0.004469608,-0.11893084,0.17866594,-0.043979395,39.3970259115722,69.76450675124914,39.3970259115722,173.25075506215646,0.3371247592908329
16,123.003890625,54.80753515625,46.15940625,43.50747265625,-0.04272095,-0.083226554,2.1255388,2.2543824,1.9295864,-2.457198,-0.36590475,2.8887644,123.1161953125,54.9975625,196.10315625,209.583015625,1,1,-1,1,13,13,13,13,-36.834526,-129.83519,-0.052009583,0.1723175,8.636631,81.77463,0.8869058,0.22165,0.0,0.0,0.0,0.0,-0.008450157,0.06813127,-0.006108435,-0.0075684064,89.67110580261753,240.4544352671137,148.66811684496736,423.3341457490728,0.1904096108182544
17,43.25844921875,36.470109375,10.611431640625,7.5923369140625,0.24954358,1.0497606,-1.0297816,0.75729465,-2.4883444,0.7570635,-0.09862959,0.5269379,44.61247265625,58.47970703125,16.753337890625,9.8754765625,-1,1,1,-1,13,13,13,11,0.020126343,-0.0037384033,24.395363,0.0031433105,3.8569882,0.6838248,24.730658,0.14064279,0.0,0.0,0.0,0.0,0.015534523,-0.020869311,0.5294691,0.053401705,49.47930384591018,85.78420034024013,19.07944774370819,119.33906542096946,0.26303926466627786
18,54.21803125,36.863859375,11.8946767578125,7.62906591796875,1.4802475,1.0294728,2.3141046,0.10741536,-2.8400059,0.13514516,-0.11271903,1.9104718,125.2874609375,58.18573046875,60.7503671875,7.67384814453125,-1,1,1,1,13,13,11,13,-0.00029945374,0.015323639,-0.30530548,0.10960388,1.9165975,1.5173166,4.7909017,2.1007457,0.0,0.0,0.12791462,0.30747783,-0.010500143,-0.006928583,0.357916,0.49791536,41.30279870510721,91.39258074936646,30.23069407799572,125.32689554663393,0.16325917264108666
19,54.27376953125,17.69080859375,16.917208984375,8.2822607421875,2.2525375,1.8557426,2.2358313,0.056305885,-1.7684909,0.68998295,0.6691042,-1.0330372,260.97471875,57.96211328125,80.0281875,8.2960654296875,-1,1,1,-1,13,13,11,13,0.097286224,0.11520004,0.18951797,50.663097,6.144977,2.7800112,3.162068,0.018984953,0.0,0.0,0.0,0.0,0.009584259,-0.020201413,0.0027664036,-0.05526059,30.897660036180472,59.69031438109231,35.93822859293014,111.86886255876205,0.20795803249059605
20,42.61804296875,41.21696484375,8.2294951171875,7.541615234375,2.2744598,1.3171327,2.4320111,2.1588402,2.8548596,-0.39416784,0.41820532,-1.4313773,209.372203125,82.4464765625,47.194546875,33.0946640625,1,-1,-1,1,13,13,11,11,-0.050279617,-0.035736084,70.603836,69.96689,0.14534478,1.934844,1.7385805,1.5428131,0.0,0.030607754,0.0,0.0,-0.013061224,-0.0143031,-0.019891327,0.44215024,12.765033101568998,93.50285164563853,12.765033101568998,110.81955388324505,0.14542859590903393
21,66.906671875,37.89541796875,29.233630859375,9.3547080078125,1.2478524,0.045281693,1.3867136,0.8226049,2.3577538,0.12293062,-0.8960779,-1.1569673,126.1183203125,37.934421875,62.14454296875,12.7023271484375,1,1,-1,1,13,13,13,11,-0.028491974,11.164583,0.016525269,0.11452484,2.915899,262.42,0.56572497,0.57574236,0.0,0.0,0.0,0.4052447,-0.007576362,-0.0014208069,-0.017339932,0.5723907,58.009710391014046,88.52633038744527,27.034622715094322,164.01124505503216,0.1952184642442762
22,225.47109375,79.414671875,67.55321875,49.8178203125,-0.035517696,-0.5947807,0.082049675,-0.68944305,-2.1220508,2.6424456,-2.3371825,-2.4569287,225.61334375,93.88078125,67.7808203125,62.13439453125,1,-1,-1,1,13,13,13,13,76.12828,0.029522896,11.756252,0.05916691,196.01868,6.352795,116.482544,3.1830938,0.0,0.0,0.01853802,0.0,-0.004580121,-0.01771248,-0.020822557,0.026029605,30.21658954508691,199.23414411298754,46.39667986633358,253.76279312330186,0.3128885065039987
23,36.9773125,30.119583984375,29.74591796875,25.35037109375,0.031310268,0.2772066,-0.0080661895,-1.9161005,1.9398773,1.2695061,-3.127187,-2.1040645,36.99558984375,31.284439453125,29.74707421875,87.9860234375,-1,1,-1,-1,13,13,13,13,-96.718216,-0.11349678,-116.89633,-0.16896057,99.10377,0.34453422,182.50526,0.071055874,0.0,0.03330122,0.0,0.0,0.058084853,0.06673506,-0.0345558,0.04610603,23.44727409388839,91.74106859946794,37.915998076434654,158.4348663909783,0.1291789076788658
24,44.84522265625,42.8206015625,11.7536552734375,7.90422412109375,0.9875759,1.3262613,-1.5492158,-0.49686894,2.1175942,-0.8858749,-0.018471958,2.6533735,68.550421875,86.3349921875,28.91530859375,8.900783203125,1,-1,-1,1,13,13,13,13,-0.0022888184,0.0048656464,-3.1309757,-16.20945,0.2523089,0.15216433,33.94979,2.1005259,0.0,0.0,0.0,0.0,-0.01168893,-0.02012011,-0.033858474,-0.10899934,21.54731943292653,88.69639057018128,21.54731943292653,166.4686453340822,0.18663257926094412
25,39.488421875,38.219390625,13.71835546875,7.66899755859375,-1.7204186,-1.1522387,0.2702074,1.7801383,1.2207725,-2.3074083,-2.8775272,-0.1478817,113.842359375,66.52475,14.22260546875,23.387724609375,-1,1,-1,1,13,13,13,11,-0.09616852,-0.08124161,0.8277588,1.4599113,1.5704684,0.5328141,3.689275,1.4511446,0.0,0.0,0.0,0.0,0.0013963436,-0.01569776,-0.03637935,0.23667482,37.65862794224447,79.46477851637803,26.311369708538635,169.86451303652223,0.1502034170736193
26,47.73675,43.54901953125,40.664734375,23.357240234375,-1.4516435,-1.4044442,0.06532168,0.0110901045,2.8778608,-0.042295642,0.29460046,2.1575546,107.5106484375,94.0390625,40.75166015625,23.358916015625,-1,1,1,-1,13,13,13,13,-0.061447144,0.015888214,-56.265167,89.80368,1.0536575,0.67116636,27.19751,92.37907,0.0,0.0,0.0,0.0,-0.032884564,0.013946255,-0.03140376,0.20913924,49.49348878714201,112.10464417933457,75.05654955748986,192.43332743315358,0.09383584443424875
27,61.996109375,21.267416015625,8.2027841796875,7.601673828125,-0.92834777,1.1468843,2.0935938,1.922988,2.208922,1.9429096,-0.8390369,-2.0641744,90.6858359375,36.85651171875,33.78426171875,26.5585,-1,1,1,-1,13,13,11,11,-0.01581955,-0.027233124,-5.479828,0.45650864,2.762594,1.4959445,7.6830325,2.6461375,0.0,0.0,0.0,0.34906593,-0.013175905,-0.049224656,-0.10340925,0.0068803993,9.18017168071018,90.13870666136737,9.18017168071018,172.49069534566834,0.3337394524419515
28,47.63441796875,38.0814765625,8.15466259765625,7.9940927734375,1.3035367,1.82649,2.4319549,2.158561,0.5971643,-2.414061,0.4183915,-1.431415,94.1701171875,121.3470859375,46.7628046875,35.07072265625,-1,1,-1,1,13,13,11,11,-0.008306503,-0.05778885,22.753204,22.156693,0.72643816,0.7359222,1.590468,1.5543884,0.0,0.0425276,0.0,0.0,-0.0068756947,0.0037571932,-0.0042841155,0.2873877,13.083887588513033,87.93584157326202,13.083887588513033,107.2129804748885,0.28210325125018626
